run,target,bcm_used,current_offset_correction,boiling_correction
27667,LH2,BCM2_I,0.999,1.013
27668,LH2,BCM2_I,0.999,1.013
27669,LH2,BCM2_I,0.999,1.013
27670,LH2,BCM2_I,0.999,1.013
27671,LH2,BCM2_I,0.999,1.013
27672,LH2,BCM2_I,0.999,1.013
27673,LH2,BCM2_I,0.999,1.013
27674,LH2,BCM2_I,0.999,1.013
27675,LH2,BCM2_I,0.999,1.013
27676,LH2,BCM2_I,0.999,1.013
27677,LH2,BCM2_I,0.999,1.013
27678,Dummy,BCM2_I,0.999,1.000
27679,Dummy,BCM2_I,0.999,1.000
27680,Dummy,BCM2_I,0.999,1.000
27681,LD2,BCM2_I,0.998,1.004
27682,LD2,BCM2_I,0.998,1.004
27683,LD2,BCM2_I,0.998,1.004
27684,LD2,BCM2_I,0.998,1.004
27685,LD2,BCM2_I,0.998,1.004
27686,LD2,BCM2_I,0.998,1.004
27687,LD2,BCM2_I,0.998,1.004
27688,LD2,BCM2_I,0.998,1.004
27689,LD2,BCM2_I,0.998,1.004
27690,LD2,BCM2_I,0.998,1.004
27691,LH2,BCM2_I,0.999,1.013
27692,LH2,BCM2_I,0.999,1.011
27693,LH2,BCM2_I,0.999,1.013
27694,LH2,BCM2_I,0.999,1.013
27695,LH2,BCM2_I,0.999,1.013
27696,LH2,BCM2_I,0.999,1.013
27697,LH2,BCM2_I,0.999,1.013
27698,LH2,BCM2_I,0.999,1.013
27699,Dummy,BCM2_I,0.999,1.000
27700,Dummy,BCM2_I,0.999,1.000
27701,Dummy,BCM2_I,0.999,1.000
27702,Dummy,BCM2_I,0.999,1.000
27703,LH2,BCM2_I,0.999,1.014
27704,LH2,BCM2_I,0.999,1.014
27705,LH2,BCM2_I,0.999,1.014
27706,LH2,BCM2_I,0.999,1.013
27707,LH2,BCM2_I,0.999,1.014
27708,LH2,BCM2_I,0.999,1.014
27709,LH2,BCM2_I,0.999,1.014
27710,LH2,BCM2_I,0.999,1.014
27711,LH2,BCM2_I,0.999,1.014
27712,LH2,BCM2_I,0.999,1.014
27713,LH2,BCM2_I,0.999,1.014
27714,Dummy,BCM2_I,0.999,1.000
27715,Dummy,BCM2_I,0.999,1.000
27716,Dummy,BCM2_I,0.999,1.000
27717,Dummy,BCM2_I,0.999,1.000
27718,LH2,BCM2_I,0.999,1.014
27719,LH2,BCM2_I,0.999,1.014
27720,LH2,BCM2_I,0.999,1.013
27721,LH2,BCM2_I,0.999,1.014
27722,LH2,BCM2_I,0.999,1.014
27723,LH2,BCM2_I,0.999,1.014
27724,LH2,BCM2_I,0.999,1.014
27725,LH2,BCM2_I,0.999,1.013
27726,LH2,BCM2_I,0.999,1.013
27727,LH2,BCM2_I,0.999,1.013
27728,LH2,BCM2_I,0.999,1.014
27730,Dummy,BCM2_I,0.999,1.000
27731,Dummy,BCM2_I,0.999,1.000
27732,Dummy,BCM2_I,0.999,1.000
27733,LH2,BCM2_I,0.999,1.022
27734,LH2,BCM2_I,0.999,1.023
27735,LH2,BCM2_I,-999,-999
27736,Dummy,BCM2_I,0.999,1.000
27737,Dummy,BCM2_I,-999,-999
27738,LD2,BCM2_I,-999,-999
27739,LH2,BCM2_I,0.999,1.024
27740,LH2,BCM2_I,0.999,1.023
27741,LH2,BCM2_I,-999,-999
27742,Dummy,BCM2_I,0.999,1.000
27743,Dummy,BCM2_I,-999,-999
27744,LD2,BCM2_I,-999,-999
27745,LH2,BCM2_I,0.999,1.018
27746,LH2,BCM2_I,0.999,1.018
27747,Cu,BCM2_I,0.999,1.000
27748,Cu,BCM2_I,0.999,1.000
27749,LH2,BCM2_I,0.999,1.015
27750,LH2,BCM2_I,0.999,1.015
27751,LH2,BCM2_I,0.999,1.014
27752,LH2,BCM2_I,0.999,1.014
27753,LD2,BCM2_I,0.998,1.004
27754,LD2,BCM2_I,0.998,1.004
27756,LH2,BCM2_I,0.999,1.013
27757,LH2,BCM2_I,0.999,1.014
27758,LH2,BCM2_I,0.999,1.014
27759,LH2,BCM2_I,0.999,1.014
27760,LH2,BCM2_I,0.999,1.014
27761,LH2,BCM2_I,0.999,1.014
27762,LH2,BCM2_I,0.999,1.014
27763,Dummy,BCM2_I,0.999,1.000
27764,Dummy,BCM2_I,0.999,1.000
27765,Dummy,BCM2_I,0.999,1.000
27766,Dummy,BCM2_I,0.999,1.000
27767,LH2,BCM2_I,0.998,1.008
27768,LH2,BCM2_I,0.998,1.008
27769,LH2,BCM2_I,0.998,1.006
27770,LH2,BCM2_I,0.998,1.006
27771,Dummy,BCM2_I,0.999,1.000
27772,LH2,BCM2_I,0.999,1.013
27773,Dummy,BCM2_I,0.999,1.000
27774,LH2,BCM2_I,0.998,1.007
27775,LH2,BCM2_I,0.998,1.007
27776,LH2,BCM2_I,0.998,1.008
27777,LH2,BCM2_I,0.998,1.008
27778,LH2,BCM2_I,0.998,1.008
27779,LH2,BCM2_I,0.998,1.009
27780,LH2,BCM2_I,0.998,1.008
27783,Dummy,BCM2_I,0.999,1.000
27786,Dummy,BCM2_I,0.999,1.000
27787,LH2,BCM2_I,0.999,1.020
27788,Dummy,BCM2_I,0.999,1.000
27789,LH2,BCM2_I,0.999,1.010
27790,LH2,BCM2_I,0.999,1.010
27791,LH2,BCM2_I,0.999,1.010
27792,LH2,BCM2_I,0.999,1.010
27793,LH2,BCM2_I,0.999,1.010
27794,LH2,BCM2_I,0.999,1.010
27795,LH2,BCM2_I,0.999,1.010
27796,Dummy,BCM2_I,0.999,1.000
27798,Dummy,BCM2_I,0.999,1.000
27799,LH2,BCM2_I,0.998,1.006
27800,LH2,BCM2_I,0.998,1.006
27801,LH2,BCM2_I,0.998,1.006
