run,target,bcm_used,current_offset_correction,boiling_correction
27106,LH2,BCM2_I,0.998,1.006
27107,Dummy,BCM2_I,0.999,1.000
27108,Dummy,BCM2_I,-999,-999
27109,LH2,BCM2_I,-999,-999
27113,LH2,BCM2_I,0.999,1.009
27114,LH2,BCM2_I,0.999,1.009
27115,LH2,BCM2_I,0.999,1.009
27116,LH2,BCM2_I,0.999,1.009
27118,LH2,BCM2_I,0.999,1.009
27119,LH2,BCM2_I,0.999,1.009
27120,LH2,BCM2_I,0.999,1.009
27121,LH2,BCM2_I,0.999,1.009
27122,LH2,BCM2_I,0.999,1.009
27123,LH2,BCM2_I,0.999,1.009
27124,LH2,BCM2_I,0.999,1.009
27125,LH2,BCM2_I,0.999,1.009
27126,LH2,BCM2_I,0.999,1.009
27127,LH2,BCM2_I,0.999,1.009
27128,LH2,BCM2_I,0.999,1.009
27129,LH2,BCM2_I,0.999,1.009
27130,LH2,BCM2_I,0.999,1.009
27131,LH2,BCM2_I,0.999,1.009
27132,LH2,BCM2_I,0.999,1.009
27133,LH2,BCM2_I,0.999,1.009
27134,LH2,BCM2_I,0.999,1.009
27135,Dummy,BCM2_I,0.999,1.000
27136,Dummy,BCM2_I,0.999,1.000
27137,Dummy,BCM2_I,0.999,1.000
27138,Dummy,BCM2_I,0.999,1.000
27139,LH2,BCM2_I,0.999,1.009
27140,LH2,BCM2_I,0.999,1.009
27141,LH2,BCM2_I,0.999,1.009
27142,LH2,BCM2_I,0.999,1.009
27143,LH2,BCM2_I,0.999,1.009
27144,LH2,BCM2_I,0.999,1.009
27145,LH2,BCM2_I,0.999,1.009
27146,LH2,BCM2_I,0.999,1.009
27147,LH2,BCM2_I,0.999,1.009
27148,LH2,BCM2_I,0.999,1.009
27149,LH2,BCM2_I,0.999,1.009
27150,Dummy,BCM2_I,0.999,1.000
27151,Dummy,BCM2_I,0.999,1.000
27152,Dummy,BCM2_I,0.999,1.000
27153,LH2,BCM2_I,0.999,1.009
27154,LH2,BCM2_I,0.999,1.009
27155,LH2,BCM2_I,0.999,1.009
27156,LH2,BCM2_I,0.999,1.017
27157,LH2,BCM2_I,0.999,1.018
27158,LH2,BCM2_I,0.999,1.017
27159,LH2,BCM2_I,0.999,1.017
27160,Dummy,BCM2_I,0.999,1.000
27161,Dummy,BCM2_I,0.999,1.000
27162,LH2,BCM2_I,0.998,1.007
27163,LH2,BCM2_I,0.999,1.010
27164,LH2,BCM2_I,0.999,1.010
27165,LH2,BCM2_I,0.999,1.010
27166,LH2,BCM2_I,0.999,1.010
27167,LH2,BCM2_I,0.999,1.010
27168,LH2,BCM2_I,0.999,1.010
27169,LH2,BCM2_I,0.999,1.010
27170,LH2,BCM2_I,0.999,1.010
27171,LH2,BCM2_I,0.999,1.011
27172,LH2,BCM2_I,0.999,1.011
27173,LH2,BCM2_I,0.999,1.010
27174,LH2,BCM2_I,0.999,1.010
27175,LH2,BCM2_I,0.999,1.010
27176,Dummy,BCM2_I,0.999,1.000
27177,Dummy,BCM2_I,0.999,1.000
27178,Dummy,BCM2_I,0.999,1.000
27179,Dummy,BCM2_I,0.999,1.000
27180,LH2,BCM2_I,0.999,1.010
27181,LH2,BCM2_I,0.999,1.010
27182,LH2,BCM2_I,0.999,1.010
27183,LH2,BCM2_I,0.999,1.010
27184,LH2,BCM2_I,0.999,1.010
27185,LH2,BCM2_I,0.999,1.011
27186,Dummy,BCM2_I,0.999,1.000
27187,Dummy,BCM2_I,0.999,1.000
27188,Dummy,BCM2_I,0.999,1.000
27189,LH2,BCM2_I,0.999,1.016
27190,LH2,BCM2_I,0.999,1.017
27191,LH2,BCM2_I,0.999,1.019
27192,LH2,BCM2_I,0.999,1.019
27194,LH2,BCM2_I,0.999,1.019
27195,Dummy,BCM2_I,0.999,1.000
27196,Dummy,BCM2_I,0.999,1.000
27197,Dummy,BCM2_I,0.999,1.000
27198,LH2,BCM2_I,0.999,1.019
27199,LH2,BCM2_I,0.999,1.019
27200,Dummy,BCM2_I,0.999,1.000
27201,LH2,BCM2_I,0.999,1.021
27202,LH2,BCM2_I,0.999,1.022
27203,LH2,BCM2_I,0.999,1.023
27204,LH2,BCM2_I,0.999,1.024
27206,LH2,BCM2_I,0.999,1.024
27208,LH2,BCM2_I,0.999,1.022
27209,LH2,BCM2_I,0.999,1.024
27210,LH2,BCM2_I,0.999,1.024
27211,LH2,BCM2_I,0.999,1.023
27212,LH2,BCM2_I,0.999,1.024
27213,LH2,BCM2_I,0.999,1.024
27214,LH2,BCM2_I,0.999,1.024
27215,LH2,BCM2_I,0.999,1.024
27216,Dummy,BCM2_I,0.999,1.000
27217,Dummy,BCM2_I,0.999,1.000
27218,Dummy,BCM2_I,0.999,1.000
27219,Dummy,BCM2_I,0.999,1.000
27220,Dummy,BCM2_I,0.999,1.000
27221,LH2,BCM2_I,0.999,1.022
27222,LH2,BCM2_I,0.999,1.023
27223,LH2,BCM2_I,0.999,1.023
27224,LH2,BCM2_I,0.999,1.024
27225,LH2,BCM2_I,0.999,1.024
27226,LH2,BCM2_I,0.999,1.024
27227,LH2,BCM2_I,0.999,1.023
27228,LH2,BCM2_I,0.999,1.024
27229,LH2,BCM2_I,0.999,1.023
27230,LH2,BCM2_I,0.999,1.024
27231,LH2,BCM2_I,0.999,1.024
27232,Dummy,BCM2_I,0.999,1.000
27233,Dummy,BCM2_I,0.999,1.000
27234,Dummy,BCM2_I,0.999,1.000
27235,Dummy,BCM2_I,0.999,1.000
27236,LD2,BCM2_I,0.998,1.005
27237,LD2,BCM2_I,0.999,1.006
27238,LD2,BCM2_I,0.999,1.006
27239,LD2,BCM2_I,0.999,1.006
27240,LD2,BCM2_I,0.999,1.006
27241,LD2,BCM2_I,0.999,1.006
27242,LD2,BCM2_I,0.999,1.006
27243,LD2,BCM2_I,0.999,1.006
27244,LD2,BCM2_I,0.999,1.006
27245,LD2,BCM2_I,0.999,1.006
27246,LD2,BCM2_I,0.999,1.006
27247,LD2,BCM2_I,0.999,1.006
27248,LD2,BCM2_I,0.999,1.006
27249,LH2,BCM2_I,0.999,1.021
27250,LH2,BCM2_I,0.999,1.020
27251,LH2,BCM2_I,0.999,1.020
27252,LH2,BCM2_I,0.999,1.021
27253,LH2,BCM2_I,0.999,1.021
27254,LH2,BCM2_I,0.999,1.021
27255,LH2,BCM2_I,0.999,1.021
27257,LH2,BCM2_I,0.999,1.020
27258,LH2,BCM2_I,0.999,1.020
27259,LH2,BCM2_I,0.999,1.021
27261,LH2,BCM2_I,0.999,1.021
27262,LH2,BCM2_I,0.999,1.021
27264,LH2,BCM2_I,0.999,1.020
27265,Dummy,BCM2_I,0.999,1.000
27266,Dummy,BCM2_I,0.999,1.000
27267,Dummy,BCM2_I,0.999,1.000
27269,Dummy,BCM2_I,0.999,1.000
27270,Dummy,BCM2_I,0.999,1.000
27271,C,BCM2_I,0.999,1.000
27272,C,BCM2_I,0.999,1.000
27273,C,BCM2_I,0.999,1.000
27274,C,BCM2_I,0.999,1.000
27275,C,BCM2_I,0.999,1.000
27276,C,BCM2_I,0.999,1.000
27277,C,BCM2_I,0.999,1.000
27278,C,BCM2_I,0.999,1.000
27279,C,BCM2_I,0.999,1.000
27280,C,BCM2_I,0.999,1.000
27281,C,BCM2_I,0.999,1.000
27282,C,BCM2_I,0.999,1.000
27283,C,BCM2_I,0.999,1.000
27284,C,BCM2_I,0.999,1.000
27285,Cu,BCM2_I,0.999,1.000
27286,Cu,BCM2_I,0.999,1.000
27287,Cu,BCM2_I,0.999,1.000
27288,Cu,BCM2_I,0.999,1.000
27289,Cu,BCM2_I,0.999,1.000
27290,Cu,BCM2_I,0.999,1.000
27291,Cu,BCM2_I,0.999,1.000
27292,Cu,BCM2_I,0.999,1.000
27293,Cu,BCM2_I,0.999,1.000
27294,Cu,BCM2_I,0.999,1.000
27295,Cu,BCM2_I,0.999,1.000
27297,Cu,BCM2_I,0.999,1.000
27298,Al,BCM2_I,0.999,1.000
27299,Al,BCM2_I,0.999,1.000
27300,LD2,BCM2_I,0.999,1.006
27301,LD2,BCM2_I,0.999,1.006
27302,LD2,BCM2_I,0.999,1.006
27303,LD2,BCM2_I,0.999,1.006
27304,LD2,BCM2_I,0.999,1.006
27305,LD2,BCM2_I,0.999,1.006
27306,LD2,BCM2_I,0.999,1.006
27307,LD2,BCM2_I,0.999,1.006
27308,LD2,BCM2_I,0.999,1.006
27309,LD2,BCM2_I,0.999,1.006
27310,LH2,BCM2_I,0.999,1.019
27311,LH2,BCM2_I,0.999,1.019
27312,LH2,BCM2_I,0.999,1.019
27313,LH2,BCM2_I,0.999,1.019
27314,LH2,BCM2_I,0.999,1.019
27315,LH2,BCM2_I,0.999,1.019
27316,LH2,BCM2_I,0.999,1.019
27317,LH2,BCM2_I,0.999,1.019
27318,LH2,BCM2_I,0.999,1.018
27319,LH2,BCM2_I,0.999,1.019
27320,Dummy,BCM2_I,0.999,1.000
27321,Dummy,BCM2_I,0.999,1.000
27322,Dummy,BCM2_I,0.999,1.000
27323,Dummy,BCM2_I,0.999,1.000
27324,C,BCM2_I,0.999,1.000
27326,C,BCM2_I,0.999,1.000
27327,C,BCM2_I,0.999,1.000
27328,C,BCM2_I,0.999,1.000
27329,C,BCM2_I,0.999,1.000
27330,C,BCM2_I,0.999,1.000
27331,C,BCM2_I,0.999,1.000
27332,C,BCM2_I,0.999,1.000
27333,C,BCM2_I,0.999,1.000
27334,C,BCM2_I,0.999,1.000
27335,Cu,BCM2_I,0.999,1.000
27336,Cu,BCM2_I,0.999,1.000
27337,Cu,BCM2_I,0.999,1.000
27338,Cu,BCM2_I,0.999,1.000
27339,Cu,BCM2_I,0.999,1.000
27340,Cu,BCM2_I,0.999,1.000
27341,Cu,BCM2_I,0.999,1.000
27342,Cu,BCM2_I,0.999,1.000
27343,Cu,BCM2_I,0.999,1.000
27344,Cu,BCM2_I,0.999,1.000
27345,Cu,BCM2_I,0.999,1.000
27347,Cu,BCM2_I,0.999,1.000
27348,Cu,BCM2_I,0.999,1.000
27349,Cu,BCM2_I,0.999,1.000
27350,Cu,BCM2_I,0.999,1.000
27352,LH2,BCM2_I,0.999,1.023
27355,Dummy,BCM2_I,0.999,1.000
27356,LD2,BCM2_I,0.999,1.011
27357,LH2,BCM2_I,0.999,1.024
27358,LH2,BCM2_I,0.999,1.024
27361,LH2,BCM2_I,0.999,1.024
27362,LH2,BCM2_I,0.999,1.024
27363,LH2,BCM2_I,0.999,1.023
27364,LH2,BCM2_I,0.999,1.023
27365,LH2,BCM2_I,0.999,1.024
27366,LH2,BCM2_I,0.999,1.023
27367,LH2,BCM2_I,0.999,1.024
27368,LH2,BCM2_I,0.999,1.024
27369,LH2,BCM2_I,0.999,1.024
27370,LH2,BCM2_I,0.999,1.024
27372,LH2,BCM2_I,0.999,1.023
27373,LH2,BCM2_I,0.999,1.024
27375,Dummy,BCM2_I,0.999,1.000
27376,Dummy,BCM2_I,0.999,1.000
27377,Dummy,BCM2_I,0.999,1.000
27378,Dummy,BCM2_I,0.999,1.000
27379,Dummy,BCM2_I,0.999,1.000
27381,LH2,BCM2_I,0.999,1.023
27382,LH2,BCM2_I,0.999,1.024
27383,LH2,BCM2_I,0.999,1.024
27384,LH2,BCM2_I,0.999,1.024
27385,LH2,BCM2_I,0.999,1.024
27386,LH2,BCM2_I,0.999,1.024
27387,LH2,BCM2_I,0.999,1.024
27388,LH2,BCM2_I,0.999,1.023
27389,LH2,BCM2_I,0.999,1.024
27390,LH2,BCM2_I,0.999,1.024
27391,LH2,BCM2_I,0.999,1.023
27392,Dummy,BCM2_I,0.999,1.000
27393,Dummy,BCM2_I,0.999,1.000
27394,Dummy,BCM2_I,0.999,1.000
27395,Dummy,BCM2_I,0.999,1.000
27396,Dummy,BCM2_I,0.999,1.000
27397,Dummy,BCM2_I,0.999,1.000
27399,LD2,BCM2_I,0.999,1.006
27400,LD2,BCM2_I,0.999,1.006
27401,LD2,BCM2_I,0.999,1.005
27402,LD2,BCM2_I,0.999,1.006
27403,LD2,BCM2_I,0.999,1.006
27406,LD2,BCM2_I,0.999,1.006
27407,LD2,BCM2_I,0.999,1.006
27408,LD2,BCM2_I,0.999,1.006
27409,LD2,BCM2_I,0.999,1.006
27410,LD2,BCM2_I,0.999,1.006
27411,LD2,BCM2_I,0.999,1.006
27412,LD2,BCM2_I,0.999,1.006
27413,LD2,BCM2_I,0.999,1.006
27414,LD2,BCM2_I,0.999,1.005
27415,LD2,BCM2_I,0.999,1.006
27417,LD2,BCM2_I,0.999,1.006
27418,LH2,BCM2_I,0.999,1.019
27419,LH2,BCM2_I,0.999,1.019
27420,LH2,BCM2_I,0.999,1.019
27421,LH2,BCM2_I,0.999,1.020
27423,LH2,BCM2_I,0.999,1.020
27424,LH2,BCM2_I,0.999,1.020
27425,LH2,BCM2_I,0.999,1.020
27426,LH2,BCM2_I,0.999,1.020
27427,LH2,BCM2_I,0.999,1.020
27428,LH2,BCM2_I,0.999,1.021
27429,LH2,BCM2_I,0.999,1.021
27430,LH2,BCM2_I,0.999,1.020
27431,LH2,BCM2_I,0.999,1.021
27432,Dummy,BCM2_I,0.999,1.000
27433,Dummy,BCM2_I,0.999,1.000
27435,Dummy,BCM2_I,0.999,1.000
27436,Dummy,BCM2_I,0.999,1.000
27437,Dummy,BCM2_I,0.999,1.000
27438,Dummy,BCM2_I,0.999,1.000
27439,LD2,BCM2_I,0.999,1.006
27440,LD2,BCM2_I,0.999,1.006
27442,LH2,BCM2_I,0.998,1.007
27443,LH2,BCM2_I,0.998,1.007
27444,LH2,BCM2_I,0.998,1.007
27445,LH2,BCM2_I,0.998,1.007
27446,LH2,BCM2_I,0.998,1.007
27447,LH2,BCM2_I,0.998,1.007
27448,LH2,BCM2_I,0.998,1.007
27449,LH2,BCM2_I,0.998,1.007
27451,LH2,BCM2_I,0.998,1.007
27452,LH2,BCM2_I,0.998,1.007
27453,LH2,BCM2_I,0.998,1.007
27454,Dummy,BCM2_I,0.999,1.000
27455,Dummy,BCM2_I,0.999,1.000
27456,Dummy,BCM2_I,0.999,1.000
27457,Dummy,BCM2_I,0.999,1.000
27458,LH2,BCM2_I,0.998,1.007
27459,LH2,BCM2_I,0.998,1.007
27460,LH2,BCM2_I,0.998,1.007
27461,LH2,BCM2_I,0.998,1.007
27462,LH2,BCM2_I,0.998,1.007
27463,LH2,BCM2_I,0.998,1.007
27464,LH2,BCM2_I,0.998,1.007
27465,LH2,BCM2_I,0.998,1.007
27466,LH2,BCM2_I,0.998,1.007
27467,LH2,BCM2_I,0.999,1.020
27468,LH2,BCM2_I,0.999,1.021
27469,LH2,BCM2_I,0.999,1.022
27470,LH2,BCM2_I,0.999,1.022
27471,Dummy,BCM2_I,0.999,1.000
27472,Dummy,BCM2_I,0.999,1.000
27473,LH2,BCM2_I,0.998,1.008
27474,LH2,BCM2_I,0.998,1.008
27475,LH2,BCM2_I,0.998,1.009
27476,LH2,BCM2_I,0.998,1.008
27477,LH2,BCM2_I,0.998,1.008
27478,LH2,BCM2_I,0.998,1.008
27479,LH2,BCM2_I,0.998,1.008
27480,LH2,BCM2_I,0.998,1.009
27481,LH2,BCM2_I,0.998,1.009
27482,LH2,BCM2_I,0.998,1.008
27483,LH2,BCM2_I,0.998,1.008
27484,LH2,BCM2_I,0.998,1.008
27485,LH2,BCM2_I,0.998,1.008
27486,Dummy,BCM2_I,0.999,1.000
27487,Dummy,BCM2_I,0.999,1.000
27488,Dummy,BCM2_I,0.999,1.000
27490,LH2,BCM2_I,0.999,1.022
27491,LH2,BCM2_I,0.999,1.022
27492,LH2,BCM2_I,0.999,1.023
27493,Dummy,BCM2_I,0.999,1.000
27494,Dummy,BCM2_I,0.999,1.000
27495,Dummy,BCM2_I,0.999,1.000
27496,LH2,BCM2_I,0.998,1.008
27497,LH2,BCM2_I,0.998,1.009
27498,LH2,BCM2_I,0.998,1.008
27499,LH2,BCM2_I,0.998,1.009
27500,LH2,BCM2_I,0.998,1.007
27501,LH2,BCM2_I,0.998,1.007
27502,Dummy,BCM2_I,0.999,1.000
27504,Dummy,BCM2_I,0.999,1.000
27505,LH2,BCM2_I,0.999,1.009
27506,LH2,BCM2_I,0.999,1.009
27507,LH2,BCM2_I,0.999,1.020
27508,LH2,BCM2_I,0.999,1.020
27509,LH2,BCM2_I,0.999,1.021
27510,Dummy,BCM2_I,0.999,1.000
27511,Dummy,BCM2_I,0.999,1.000
27512,Dummy,BCM2_I,0.999,1.000
27513,Dummy,BCM2_I,0.999,1.000
27514,LH2,BCM2_I,0.999,1.010
27515,LH2,BCM2_I,0.999,1.010
27516,LH2,BCM2_I,0.999,1.024
27517,LH2,BCM2_I,0.999,1.024
27518,LH2,BCM2_I,0.999,1.022
27519,Dummy,BCM2_I,0.999,1.000
27521,Dummy,BCM2_I,0.999,1.000
27522,Dummy,BCM2_I,0.999,1.000
27523,Dummy,BCM2_I,0.999,1.000
27530,LD2,BCM2_I,0.999,1.013
27532,LD2,BCM2_I,0.999,1.013
27533,LD2,BCM2_I,0.999,1.012
27536,LD2,BCM2_I,0.998,1.004
27537,LD2,BCM2_I,0.998,1.004
27538,LH2,BCM2_I,0.999,1.012
27539,LH2,BCM2_I,0.999,1.012
27540,Dummy,BCM2_I,0.999,1.000
27541,Dummy,BCM2_I,0.999,1.000
27542,LH2,BCM2_I,0.999,1.012
27543,LH2,BCM2_I,0.999,1.012
27544,LH2,BCM2_I,0.999,1.023
27545,LH2,BCM2_I,0.999,1.024
27546,LH2,BCM2_I,0.999,1.024
27547,Dummy,BCM2_I,0.999,1.000
27548,Dummy,BCM2_I,0.999,1.000
27550,Dummy,BCM2_I,0.999,1.000
27551,Dummy,BCM2_I,0.999,1.000
27552,LD2,BCM2_I,0.999,1.006
27553,LD2,BCM2_I,0.999,1.006
27554,LD2,BCM2_I,0.999,1.006
27555,LH2,BCM2_I,0.999,1.020
27556,LH2,BCM2_I,0.999,1.020
27557,LH2,BCM2_I,0.999,1.020
27558,LH2,BCM2_I,0.999,1.023
27559,LH2,BCM2_I,0.999,1.024
27560,LH2,BCM2_I,0.999,1.024
27561,LH2,BCM2_I,0.999,1.024
27562,Dummy,BCM2_I,0.999,1.000
27563,Dummy,BCM2_I,0.999,1.000
27564,Dummy,BCM2_I,0.999,1.000
27565,Dummy,BCM2_I,0.999,1.000
27566,C,BCM2_I,0.999,1.000
27567,C,BCM2_I,0.999,1.000
27571,NONE,BCM2_I,0.999,1.000
27572,Cu,BCM2_I,0.999,1.000
27573,Cu,BCM2_I,0.999,1.000
27574,Al,BCM2_I,0.999,1.000
27575,Al,BCM2_I,0.999,1.000
27576,LD2,BCM2_I,0.999,1.014
27579,LD2,BCM2_I,0.999,1.014
27580,LD2,BCM2_I,0.999,1.014
27581,LH2,BCM2_I,0.999,1.024
27582,LH2,BCM2_I,0.999,1.015
27583,LH2,BCM2_I,0.999,1.023
27584,LH2,BCM2_I,0.999,1.024
27585,LH2,BCM2_I,0.999,1.023
27586,Dummy,BCM2_I,0.999,1.000
27590,Dummy,BCM2_I,0.999,1.000
27591,Dummy,BCM2_I,0.999,1.000
27592,Dummy,BCM2_I,0.999,1.000
27593,C,BCM2_I,0.999,1.000
27594,C,BCM2_I,0.999,1.000
27595,C,BCM2_I,0.999,1.000
27596,C,BCM2_I,0.999,1.000
27597,Cu,BCM2_I,0.999,1.000
27598,Cu,BCM2_I,0.999,1.000
27599,Cu,BCM2_I,0.999,1.000
27600,Cu,BCM2_I,0.999,1.000
27601,Cu,BCM2_I,0.999,1.000
27602,Cu,BCM2_I,0.999,1.000
27603,Cu,BCM2_I,0.999,1.000
27604,LD2,BCM2_I,0.999,1.005
27605,LD2,BCM2_I,0.999,1.005
27606,LD2,BCM2_I,0.999,1.005
27607,LD2,BCM2_I,0.999,1.005
27608,LH2,BCM2_I,0.999,1.015
27609,LH2,BCM2_I,0.999,1.017
27610,LH2,BCM2_I,0.999,1.018
27612,LH2,BCM2_I,-999,-999
27614,Dummy,BCM2_I,-999,-999
27615,Dummy,BCM2_I,0.999,1.000
27616,Dummy,BCM2_I,0.999,1.000
27617,Dummy,BCM2_I,0.999,1.000
27618,Dummy,BCM2_I,0.999,1.000
27619,Dummy,BCM2_I,0.999,1.000
27620,Dummy,BCM2_I,0.999,1.000
27621,Dummy,BCM2_I,0.999,1.000
27622,Dummy,BCM2_I,0.999,1.000
27623,Dummy,BCM2_I,0.999,1.000
27624,LD2,BCM2_I,0.999,1.006
27625,LD2,BCM2_I,0.999,1.006
27626,LD2,BCM2_I,0.999,1.006
27627,LD2,BCM2_I,0.999,1.006
27628,LD2,BCM2_I,0.999,1.006
27629,LD2,BCM2_I,0.999,1.006
27630,LD2,BCM2_I,0.999,1.006
27631,LD2,BCM2_I,0.999,1.006
27632,LH2,BCM2_I,0.999,1.019
27633,LH2,BCM2_I,0.999,1.020
27634,LH2,BCM2_I,0.999,1.021
27635,LH2,BCM2_I,0.999,1.021
27636,LH2,BCM2_I,0.999,1.021
27637,LH2,BCM2_I,0.999,1.020
27638,LH2,BCM2_I,0.999,1.020
27639,LH2,BCM2_I,0.999,1.020
27640,LH2,BCM2_I,0.999,1.020
27641,LH2,BCM2_I,0.999,1.021
27642,LH2,BCM2_I,0.999,1.023
27643,Dummy,BCM2_I,0.999,1.000
27644,Dummy,BCM2_I,0.999,1.000
27650,LD2,BCM2_I,0.998,1.004
27651,LD2,BCM2_I,0.998,1.004
27652,LD2,BCM2_I,0.998,1.004
27653,LD2,BCM2_I,0.998,1.004
27654,LD2,BCM2_I,0.998,1.004
27655,LD2,BCM2_I,0.998,1.004
27656,LD2,BCM2_I,0.998,1.004
27657,LD2,BCM2_I,0.998,1.004
27658,LD2,BCM2_I,0.998,1.004
27659,LD2,BCM2_I,0.998,1.004
27660,LD2,BCM2_I,0.998,1.004
27661,LD2,BCM2_I,0.998,1.004
27662,LD2,BCM2_I,0.998,1.004
27663,LD2,BCM2_I,0.998,1.004
27664,LH2,BCM2_I,0.999,1.013
27665,LH2,BCM2_I,0.999,1.013
27666,LH2,BCM2_I,0.999,1.013
