#Plane_2u2
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             1227
1    14.29060     3.63030             9510
2    18.10225     3.12821             37707
3    6.98030     0.63571             137011
4    8.90828     0.78403             106945
5    11.32467     1.58086             68289
6    10.70457     2.47473             17004
