#Plane_2u1
#Card       tzero  t_zero_err      entries
0    0.50000     0.00000             1997
1    10.25438     1.88899             11363
2    19.97059     2.53314             50696
3    17.39955     1.15155             141095
4    8.28383     0.93517             100226
5    6.90891     0.93553             61763
6    12.25147     3.25131             10395
