#Plane_2v2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             1303
1    10.70863     3.02208             9157
2    11.86954     1.47080             48010
3    16.24463     0.86323             174339
4    14.60075     1.25301             93264
5    17.86457     1.82475             45239
6    13.55769     2.18605             8462
