#Plane_1u2
#Card       tzero  t_zero_err      entries
0    10.50000     0.00000             587
1    1.31711     2.87318             5278
2    7.41811     1.16892             41626
3    9.34407     0.61702             189665
4    11.97327     0.95749             99167
5    15.23094     2.09435             39091
6    10.50000     0.00000             4706
