#Plane_2x2
#Card       tzero  t_zero_err      entries
0    8.68906     2.08424             13244
1    7.63765     1.01037             39333
2    15.19753     1.40555             84112
3    17.69548     1.10722             117403
4    17.77744     1.02505             125643
