#Plane_1x2
#Card       tzero  t_zero_err      entries
0    8.57873     2.28622             9859
1    10.89793     1.53430             32496
2    4.95732     0.65271             89845
3    6.56306     0.63809             134511
4    8.93723     0.73351             117160
