#Plane_2x1
#Card       tzero  t_zero_err      entries
0    15.71041     2.92130             14165
1    14.51314     1.65816             40793
2    11.88137     1.04618             81373
3    12.27996     1.04409             118357
4    13.28535     0.95547             119116
