#Plane_1v2
#Card       tzero  t_zero_err      entries
0    20.50000     0.00000             562
1    13.73949     4.79524             6472
2    15.35685     2.32534             32546
3    6.94330     0.55971             147953
4    7.47285     0.65228             116418
5    8.74067     0.92650             68702
6    7.88957     2.07219             10489
